,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93
Oldman_20,NA,NA,NA,NA,NA,NA,NA,NA,208,9,36,107,55,89,39,52,110,110,11,43,18,111,9,18,16,199,182,115,174,333,391,777,654,775,470,408,594,691,392,457,680,438,583,960,1042,920,921,797,641,379,328,386,296,303,96,0,2,0,1,18,31,23,111,46,6,15,8,41,7,18,2,0,3,1,27,0,17,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oldman_21,89,61,272,206,344,317,383,131,129,120,171,103,158,198,69,275,340,316,353,309,114,101,142,56,178,34,34,161,136,216,170,126,118,196,209,266,294,417,317,307,377,476,960,390,342,75,10,15,49,17,28,9,3,8,14,1,80,6,9,4,36,46,8,8,0,0,0,33,2,8,83,132,31,41,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oldman_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,14,6,0,13,5,29,4,9,4,23,4,5,11,1,11,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,4,0,0,0,2,2,0,2,2,3,0,0,7,0,0,12,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poia1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,9,8,2,1,2,0,0,0,0,2,2,5,0,0,0,15,0,3,3,1,1,3,1,7,1,6,3,13,2,13,6,3,0,3,0,2,3,12,3,0,3,0,0,2,0,6,0,0,0,1,3,5,2,0,0,0,2,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poia1_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,5,11,19,6,11,18,9,2,9,10,14,18,24,20,0,27,28,44,49,6,60,31,39,56,6,27,18,25,9,0,2,37,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poia1_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Poia3_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,17,0,8,1,0,1,0,0,0,0,15,0,0,4,25,4,5,2,0,3,11,1,0,0,0,0,0,1,0,12,2,0,2,0,0,0,3,2,4,2,0,4,0,1,2,1,0,1,0,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poia3_21,NA,NA,NA,NA,NA,NA,37,3,14,20,33,3,16,123,213,213,38,16,240,46,122,99,38,10,46,42,0,73,18,57,31,7,17,27,25,12,14,40,5,3,30,18,12,42,14,116,52,22,34,69,30,44,10,35,40,30,13,120,51,52,162,153,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poia3_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,0,0,1,0,0,6,16,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,1,0,0,0,36,0,20,14,24,1,1,3,16,0,0,0,1,5,3,6,13,6,NA,NA,NA,NA,NA,NA
Scenic1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,45,7,5,21,38,64,16,27,35,235,81,154,36,30,46,75,101,14,26,57,48,11,31,50,41,39,19,0,4,42,7,6,3,0,6,4,15,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scenic1_21,0,7,403,117,68,60,121,0,2,26,174,259,46,12,100,51,170,96,19,0,0,48,0,18,0,0,2,22,31,147,159,174,292,18,35,250,616,890,1064,482,703,1176,647,531,340,123,75,18,14,2,14,0,0,19,42,66,32,216,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scenic1_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,14,17,36,25,101,27,10,11,24,3,10,26,28,18,3,12,0,2,31,10,24,22,10,5,81,38,16,78,570,1007,118,64,363,168,53,46,49,8,1,113,59,36,16,27,20,3,8,42,48,1,1,0,36,0,0,37,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scenic2_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,0,2,9,0,0,0,4,0,0,18,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,28,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
